path,sentence
common_voice_id_26747327.mp3,kamu harus melakukannya suka tidak suka
common_voice_id_21699230.mp3,saya dibonceng di belakang sepeda teman
common_voice_id_25248896.mp3,tom berkata dia dapat menunggu lama
common_voice_id_25537482.mp3,minggu lalu terus menerus hujan
common_voice_id_21195036.mp3,saat libur musim panas tahun ini saya pergi ke laut dan mendaki gunung
common_voice_id_27223930.mp3,dia memanggil namanya
common_voice_id_35278753.mp3,saat berada di sana saya belajar bahasa inggris
common_voice_id_27425000.mp3,di mana kamu membeli buku itu
common_voice_id_32866577.mp3,sepuluh tahun adalah waktu yang lama untuk menunggu
common_voice_id_27858277.mp3,di atas meja ada vas bunga
common_voice_id_26252080.mp3,"“saya meninggalkannya,” ujarnya sambil memasukkannya ke dalam sakunya"
common_voice_id_27143509.mp3,dia pasti sangat cantik ketika muda
common_voice_id_25470004.mp3,semuanya seribu enam ratus yen
common_voice_id_25414468.mp3,mafia adalah salah satu jenis organisasi kriminal
common_voice_id_19648040.mp3,tom terlihat seperti sedang sedih
common_voice_id_25404467.mp3,adik perempuan saya matanya besar dan hidungnya mancung
common_voice_id_27425008.mp3,tinggalkan aku sendiri
common_voice_id_36383884.mp3,aku bekerja di sini aku bukan tamu
common_voice_id_26550202.mp3,apakah anda pernah ke meksiko
common_voice_id_32512655.mp3,dia menyemangati saya untuk mencoba lagi
common_voice_id_26215697.mp3,kemudian dia diarahkan oleh dua peri menuju gerbang
common_voice_id_26237632.mp3,antara dorthonion yang nyata dan echoriath terbentang pass of anach
common_voice_id_25797602.mp3,jangan minum air dari gelas kotor itu
common_voice_id_25464805.mp3,di dekat rumahku ada taman indah
common_voice_id_25415504.mp3,kita semua berbicara dengan bahasa inggris
common_voice_id_25444559.mp3,saya membeli majalah di toko buku
common_voice_id_25301388.mp3,saya ingin pergi ke tempat tenang dan cantik
common_voice_id_27380687.mp3,tuhan memberkatimu
common_voice_id_27612797.mp3,siapa yang berlari lebih cepat yumi atau keiko
common_voice_id_27005788.mp3,aku ingin merantau merasakan hidup di luar kota kelahiranku
common_voice_id_27777106.mp3,itu tadi menarik ya
common_voice_id_30591543.mp3,jam ini harganya seribu lima ratus yen
common_voice_id_36938408.mp3,sialan
common_voice_id_26244199.mp3,lagu “largactyl” ditulis tentang pengalaman martin
common_voice_id_32866608.mp3,dari stasiun sampai rumah sakit makan waktu sepuluh menit dengan bus
common_voice_id_26591683.mp3,saya malu menanyakan pertanyaan bodoh seperti itu
common_voice_id_21195797.mp3,itulah yang saya ingin tahu
common_voice_id_26599661.mp3,memikirkan kamu setiap hari
common_voice_id_26228039.mp3,setelah kejadian itu dia berkesimpulan kesuksesan dan kegagalan itu saling berhubungan
common_voice_id_19821432.mp3,saya melihat film
common_voice_id_27858076.mp3,mungkin tom akan menyukai itu
common_voice_id_32866513.mp3,terserah kamu kalau begitu
common_voice_id_27391056.mp3,tolong tutup gorden tersebut
common_voice_id_35076030.mp3,dia telah berjanji akan memberi tahu kita
common_voice_id_28672427.mp3,mentega terbuat dari krim
common_voice_id_25417441.mp3,di depan rumah ada dua orang tak dikenal
common_voice_id_27687926.mp3,saya dengar dari pak guru kalau murid baru akan datang bulan depan
common_voice_id_27549943.mp3,kita sedang mencari tom
common_voice_id_25378673.mp3,dengan berusaha semaksimal mungkin
common_voice_id_25436305.mp3,karena jalan baru sudah jadi desa menjadi lebih mudah dijangkau
common_voice_id_25609684.mp3,hal yang aneh telah terjadi di hari ulang tahunnya
common_voice_id_22787917.mp3,dia menunjukkan maksudnya yang sebenarnya
common_voice_id_19813694.mp3,tas pak tanaka ada di situ
common_voice_id_25165785.mp3,hari ini saya banyak berjalan kaki
common_voice_id_26208584.mp3,program prestasi akademik menyediakan alat tambahan kepada siswa yang berpartisipasi untuk berhasil di sekolah hukum
common_voice_id_20953394.mp3,istri pak tanaka dosen universitas
common_voice_id_28734875.mp3,kereta akan tiba di stasiun
common_voice_id_25403979.mp3,apa warna ikan ini
common_voice_id_25451716.mp3,masalah ini tidak akan selesai
common_voice_id_25165711.mp3,kamar saya terlalu sempit untuk barang barang ini
common_voice_id_28559243.mp3,aku sudah tidak tahan dengan hal itu
common_voice_id_26228379.mp3,weisskopf adalah anggota akademi ilmu pengetahuan nasional
common_voice_id_35323679.mp3,saya memberi tahu teman saya alamat yang baru
common_voice_id_25166142.mp3,ibu sedang masak di dapur
common_voice_id_25627871.mp3,saya lupa nama orang itu
common_voice_id_25414751.mp3,tom melihat mary memecahkan kaca jendela
common_voice_id_36383971.mp3,tidak ada yang menyambut baik proposal itu
common_voice_id_25249492.mp3,di sana banyak toko berjejer
common_voice_id_27284542.mp3,bulu kucing sangat halus
common_voice_id_25361565.mp3,jangan pergi lama lama ya
common_voice_id_26243075.mp3,ada juga single yang dirilis dalam volume yang sangat kecil
common_voice_id_35117898.mp3,belajar untuk mencintai produk dalam negeri
common_voice_id_21699467.mp3,saya tidak takut hantu
common_voice_id_25405627.mp3,saya pulang ke rumah
common_voice_id_35744791.mp3,kalian bersenang senang bukan
common_voice_id_25296941.mp3,anak anak adalah bunga dari kehidupan kita
common_voice_id_35117825.mp3,ruangan ini cukup luas
common_voice_id_25335021.mp3,kalimat ini mudah dibaca karena pendek
common_voice_id_21699877.mp3,bisakan itu diungkapkan dengan cara lain
common_voice_id_33453538.mp3,aku merindukanmu
common_voice_id_25968475.mp3,dalam tahun tahun terakhir ini terjadi banyak perubahan di kalangan distributor banyak program
common_voice_id_27536367.mp3,coba tanya sama kamu
common_voice_id_25415751.mp3,jangan menakut nakutiku seperti itu
common_voice_id_26266412.mp3,kuil ini dikatakan telah dihancurkan oleh penjajah spanyol
common_voice_id_28672406.mp3,buku ini ada seratus dua puluh halaman
common_voice_id_26667161.mp3,aku tinggal bersama orangtua
common_voice_id_27599745.mp3,saya meminjam buku dari perpustakaan dan membacanya
common_voice_id_25417421.mp3,seandainya kita lebih bersabar dalam kesulitan maka kedamaian dan keselamatan menjadi milik kita
common_voice_id_27451198.mp3,tolong lepas jasmu
common_voice_id_25129420.mp3,ibu sedang tidak ada di rumah
common_voice_id_26831303.mp3,bahkan malaikatpun tak bisa menilai niat di hati seseorang
common_voice_id_25440663.mp3,kenapa tidak dicoba
common_voice_id_25969536.mp3,senator juga dapat meminta sebuah mosi dibagi ke dalam beberapa mosi yang lebih kecil
common_voice_id_25249719.mp3,tahu sebelum terjadi
common_voice_id_25469922.mp3,saya sedang sakit hari ini
common_voice_id_26256131.mp3,spesies caudiciform besar dipindahkan ke genus baru cyphostemma
common_voice_id_25437044.mp3,dia di sini
common_voice_id_36921598.mp3,grup itu sedang sangat aktif saat ini
common_voice_id_25411462.mp3,kita harus mulai dari sekarang
common_voice_id_32866582.mp3,aku pun merasa akan enak jika pergi ke arah bawah jembatan tersebut
common_voice_id_25169660.mp3,tokyo lebih ramai dibandingkan beijing
common_voice_id_25468935.mp3,bangunan itu masih kokoh
common_voice_id_26267889.mp3,pedoman apa yang akan membantu dalam membangun rumah yang lebih murah dan terjangkau
common_voice_id_25969112.mp3,jumlah tanda fonografis dibatasi
common_voice_id_26228451.mp3,dia adalah kolonis putih atau “blancs”
common_voice_id_25451377.mp3,apakah jawaban saya tepat
common_voice_id_25413365.mp3,monumen itu memiliki nilai historis yang tinggi
common_voice_id_26259559.mp3,kita membutuhkan akhir dari semua masalah seperti itu
common_voice_id_26021323.mp3,kualifikasi pemimpin diperlukan untuk semua kepala pengawas mahasiswa doktoral
common_voice_id_26237287.mp3,the heritage foundation telah menyelenggarakan pemutaran film ini yang dilanjutkan dengan diskusi panel
common_voice_id_25413248.mp3,ketika aku kecil ibu sering membacakan dongeng untukku
common_voice_id_25968497.mp3,kota mullingar berada di distrik kota mullingar yang terdiri dari tiga belas anggota
common_voice_id_25470319.mp3,gunting itu rusak
common_voice_id_25413179.mp3,dia mungkin kembali kerumah melalui jalan lain
common_voice_id_26267959.mp3,aku selalu begitu ketika masih menjadi dokter
common_voice_id_21700107.mp3,dia nampaknya amat bahagia
common_voice_id_35507973.mp3,saya mengambil banyak foto saat jalan jalan
common_voice_id_28672278.mp3,maukah kamu tinggal di sini sementara
common_voice_id_25444802.mp3,aku minum air
common_voice_id_26269931.mp3,mobil mobil itu bermesin belakang dengan radiator kembar
common_voice_id_25902168.mp3,sprint mencoba mengatasi ini dengan munculnya telepon powersource
common_voice_id_26930886.mp3,saya akan berbicara ke pak guru tentang hal itu
common_voice_id_35282203.mp3,sudah sewajarnya dia bangga terhadap putranya
common_voice_id_25303247.mp3,diam atau kamu akan dikeluarkan
common_voice_id_25412982.mp3,ketika datang ke jepang saya mengambil foto di bandara
common_voice_id_25464690.mp3,kemarin saya meminjam seribu yen dari pak yamada
common_voice_id_27341349.mp3,apakah kamu sedang mendengarkan bahasa inggris
common_voice_id_26152116.mp3,sekolah itu selama bertahun tahun menggunakan panji lambang pendirinya edward latymer
common_voice_id_35508416.mp3,tom sedang membaca buku sejarah
common_voice_id_25847874.mp3,bukan itu yang aku cari
common_voice_id_25299823.mp3,tom memarahi anak laki lakinya karena telah malas
common_voice_id_27587426.mp3,pak matsui pandai memasak
common_voice_id_30591522.mp3,saya mandi sebelum tidur
common_voice_id_26009851.mp3,saya berada dalam situasi yang sedikit sulit
common_voice_id_25294797.mp3,dia mengumpulkan banyak perangko
common_voice_id_25718770.mp3,hat hati jika bepergian malam hari sendirian
common_voice_id_36921729.mp3,loncat bila terjadi sesuatu
common_voice_id_35117863.mp3,sikapnya padaku berbeda dari biasanya
common_voice_id_20953736.mp3,menjarah adalah hal yang ilegal
common_voice_id_25486755.mp3,apakah anda suka daging iga
common_voice_id_33756877.mp3,kami membuat sebuah kesepakatan
common_voice_id_25774330.mp3,sepertinya sudah dihapus
common_voice_id_25335269.mp3,sudahlah tom kita tidak punya waktu untuk hal ini
common_voice_id_25412596.mp3,saya mengajar bahasa jepang kepada orang asing
common_voice_id_25415825.mp3,saya tidak begitu suka menulis huruf
common_voice_id_35506077.mp3,adik laki laki pak kobayashi sedang bermain sepak bola
common_voice_id_26865973.mp3,cek saldo
common_voice_id_26256201.mp3,lange dikurung di kastel kalundborg
common_voice_id_37072070.mp3,bukankah saya sudah memperingatkanmu
common_voice_id_25588000.mp3,saya makan malam mandi dan tidur
common_voice_id_26628186.mp3,saya tahu dia tidak dapat bekerja lagi
common_voice_id_28735171.mp3,kesehatan lebih penting dibanding emas
common_voice_id_35117875.mp3,saya setiap hari berjalan kaki ke sekolah
common_voice_id_25451358.mp3,saya berumur sembilan belas tahun
common_voice_id_27450115.mp3,aku takut kucing
common_voice_id_35627457.mp3,dia menendangku
common_voice_id_35338065.mp3,saya duduk di sini
common_voice_id_26018946.mp3,fosilnya ditemukan di beberapa lokasi di provinsi santa vruz argentina
common_voice_id_35372979.mp3,saya mendengar anda tapi saya tidak dapat melihat anda
common_voice_id_26831454.mp3,dia masih muda
common_voice_id_25039606.mp3,saya yakin bahwa kejujuran selalu lebih baik daripada kamu menutupi kebenaran dengan kebohongan
common_voice_id_25378849.mp3,aku pernah naik gunung aso
common_voice_id_26242833.mp3,aku untuk satu hal tidak ragu bahwa itu adalah akal cepatmu saat melihat kami dikirim dari tempat yang mengerikan itu
common_voice_id_26250971.mp3,putar album vic damone bernama tuonela
common_voice_id_21700142.mp3,pak kimura kadang kadang membuat makan malam
common_voice_id_25773775.mp3,tom terlalu tua untuk melakukan hal semacam ini
common_voice_id_36471208.mp3,aku takut kucing
common_voice_id_25599934.mp3,saya meminjam uang di bank
common_voice_id_19704738.mp3,saya menerima formulir penyetoran uang di loket
common_voice_id_35413290.mp3,di dekat rumahku ada taman indah
common_voice_id_27404785.mp3,di mana saya bisa beli tiket
common_voice_id_25449298.mp3,berjalan bersama lebih menyenangkan
common_voice_id_20957324.mp3,tom menikahi perempuan yang lebih mudah dari dirinya
common_voice_id_26237570.mp3,instrumen hukum skotlandia yang dibuat oleh pemerintah skotlandia adalah sumber lain legislasi
common_voice_id_26009087.mp3,tetapi apa yang bisa dia lakukan
common_voice_id_33326952.mp3,dia melihatnya memakan roti lapis
common_voice_id_26237167.mp3,dua mode permainan tersedia
common_voice_id_27853672.mp3,di mana kamu membeli bunga bunga itu
common_voice_id_27414147.mp3,saya mengirim barang di kantor pos pada tanggal enam
common_voice_id_25302343.mp3,kiamat sudah dekat
common_voice_id_35117908.mp3,hari ini saya harus belajar
common_voice_id_35413265.mp3,pak yamada orang yang sangat ceria
common_voice_id_36317864.mp3,ini bukan ikan
common_voice_id_27451113.mp3,apa itu benar
common_voice_id_25407426.mp3,kami berharap harga harga akan turun
common_voice_id_20967376.mp3,tetap tenang dan waspadalah
common_voice_id_35506976.mp3,tolong nyalakan ac
common_voice_id_26256144.mp3,akan tetapi mole show bukanlah kesuksesan finansial
common_voice_id_25878222.mp3,dikatakan bahwa dia seorang jutawan
common_voice_id_19783809.mp3,saya beranggapan kamu tidak ingin bermain tenis dengan kami siang ini
common_voice_id_33325158.mp3,pak kobayashi tidak tahu restoran itu
common_voice_id_19821794.mp3,apakah dia tau bagaimana perasaannya terhadap dia
common_voice_id_25971885.mp3,gereja itu menjadi bagian dari dekanat utara chelmsford
common_voice_id_25970213.mp3,dia dihormati sebagai salah satu nama terkemuka dalam puisi portugis kontemporer
common_voice_id_36471302.mp3,hidup itu harus mikir jangan diem terus
common_voice_id_20953898.mp3,tom seharusnya sudah sampai sekarang
common_voice_id_26831329.mp3,dia membuka pintu
common_voice_id_26019217.mp3,ingebrigtsen menulis lagu true friendship untuk album debut arredondo
common_voice_id_26256637.mp3,saanich south mencakup belahan utara dan barat dari distrik saanich
common_voice_id_26258212.mp3,begitulah adanya kata pria tua itu
common_voice_id_26206467.mp3,ibu kotanya adalah eatontonibu
common_voice_id_25335292.mp3,setelah tidur nyenyak perasaan menjadi enteng
common_voice_id_27374364.mp3,semenjak dia tidak dapat menyelesaikan masalah dengan cara itu dia mencoba dengan cara lain
common_voice_id_21194463.mp3,silakan duduk
common_voice_id_34326146.mp3,di surabaya saya dilahirkan
common_voice_id_25039312.mp3,tidak apa apa
common_voice_id_32775898.mp3,kapan novel barumu akan diterbitkan
common_voice_id_27651896.mp3,mendengar ucapan semacam itu keluar dari bibir pemuda tujuh belas tahun ini
common_voice_id_25469772.mp3,aku suka menyikat gigi dengan pasta gigi ini
